epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4024,1.26096,1.71656,1.34506,0.95575,0.86658,0.95355,0.73901,0.81933,0.92169,1.05085,0.000664609,0.000664609,0.000664609
2,82.7762,1.16965,1.30068,1.28824,0.90064,0.88889,0.94636,0.659,0.89161,0.92642,1.11508,0.00128734,0.00128734,0.00128734
3,121.952,1.14909,1.15605,1.29962,0.90971,0.88272,0.95134,0.69862,0.9352,0.7888,1.12241,0.00186608,0.00186608,0.00186608
4,161.818,1.09593,1.07536,1.25307,0.96375,0.93519,0.97716,0.7874,0.74288,0.63713,1.03299,0.001802,0.001802,0.001802
5,201.399,1.07343,0.99614,1.25061,0.96216,0.95062,0.98523,0.81043,0.68838,0.6045,1.01882,0.001736,0.001736,0.001736
6,240.719,1.00373,0.91089,1.21024,0.96586,0.96605,0.98842,0.81828,0.65697,0.54619,0.99416,0.00167,0.00167,0.00167
7,280.038,0.96853,0.8519,1.19979,0.97847,0.94444,0.98584,0.81283,0.63834,0.53536,0.97657,0.001604,0.001604,0.001604
8,319.242,0.97655,0.86167,1.19176,0.99424,0.9537,0.98779,0.81406,0.65196,0.48565,0.997,0.001538,0.001538,0.001538
9,358.425,0.93697,0.80734,1.17863,0.98888,0.96605,0.99166,0.82607,0.61961,0.43849,0.96488,0.001472,0.001472,0.001472
10,397.645,0.94654,0.81755,1.17183,0.98745,0.97136,0.99077,0.84318,0.60364,0.51112,0.95916,0.001406,0.001406,0.001406
11,437.01,0.92082,0.80112,1.16371,0.98718,0.95089,0.98989,0.85145,0.56564,0.42316,0.93333,0.00134,0.00134,0.00134
12,476.24,0.89927,0.75683,1.15043,0.9741,0.96296,0.9905,0.86187,0.55665,0.42103,0.93541,0.001274,0.001274,0.001274
13,515.455,0.86733,0.71928,1.13815,0.97201,0.98457,0.99201,0.86414,0.54788,0.41041,0.94064,0.001208,0.001208,0.001208
14,554.697,0.85153,0.69599,1.13235,0.993,0.9784,0.99385,0.85979,0.55937,0.39226,0.94151,0.001142,0.001142,0.001142
15,593.875,0.86324,0.69139,1.139,0.98769,0.98148,0.99432,0.86407,0.55209,0.37057,0.93717,0.001076,0.001076,0.001076
16,633.043,0.83983,0.69204,1.12203,0.98489,0.97531,0.99347,0.88975,0.49185,0.36191,0.91186,0.00101,0.00101,0.00101
17,672.259,0.82163,0.67823,1.11802,0.98748,0.97365,0.99214,0.88382,0.50298,0.35292,0.91745,0.000944,0.000944,0.000944
18,711.485,0.80366,0.65393,1.10235,0.98686,0.97222,0.99208,0.85776,0.54985,0.37335,0.96197,0.000878,0.000878,0.000878
19,750.736,0.80929,0.63975,1.10753,0.99303,0.97222,0.99323,0.89102,0.50087,0.3438,0.92086,0.000812,0.000812,0.000812
20,790.043,0.79453,0.64897,1.10184,0.97726,0.98457,0.99183,0.88361,0.49543,0.33766,0.92434,0.000746,0.000746,0.000746
21,841.601,0.56246,0.42395,0.94135,0.99121,0.98457,0.99454,0.88811,0.50285,0.33716,0.91401,0.00068,0.00068,0.00068
22,880.338,0.55656,0.38553,0.93833,0.98755,0.98148,0.99424,0.89017,0.49422,0.31825,0.91742,0.000614,0.000614,0.000614
23,919.225,0.54148,0.37213,0.93203,0.99377,0.98446,0.99372,0.91055,0.45464,0.31067,0.90166,0.000548,0.000548,0.000548
24,958.337,0.52568,0.35802,0.91397,0.99063,0.98148,0.99441,0.90931,0.44736,0.29798,0.88489,0.000482,0.000482,0.000482
25,997.479,0.51049,0.33604,0.90978,0.98754,0.98765,0.99444,0.9108,0.45979,0.29665,0.90365,0.000416,0.000416,0.000416
26,1036.74,0.49458,0.3324,0.90548,0.99397,0.9784,0.99463,0.91722,0.43956,0.28555,0.8917,0.00035,0.00035,0.00035
27,1075.99,0.47447,0.31558,0.8994,0.99347,0.98457,0.99469,0.92453,0.42514,0.27607,0.88453,0.000284,0.000284,0.000284
28,1115.31,0.48475,0.31861,0.90164,0.99037,0.98148,0.99437,0.92715,0.41554,0.26951,0.88443,0.000218,0.000218,0.000218
29,1154.68,0.44951,0.30089,0.88007,0.99299,0.98765,0.99472,0.92593,0.41105,0.26494,0.88654,0.000152,0.000152,0.000152
30,1194.02,0.44473,0.29491,0.8784,0.99688,0.98724,0.99485,0.92778,0.41106,0.25978,0.88533,8.6e-05,8.6e-05,8.6e-05
